id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
1iYULfwDSwsh4eQUkdSx3D,"Up and Down, Up and Down (I Will Lead Them Up and Down) [Puck]",0,180427,0,['Duke Ellington'],['4F7Q5NV6h5TSwCainz8S5A'],1924,0.602,0.333,0,-9.352,1,0.0284,0.784,1.22e-06,0.127,0.617,77.437,4,1924
6OlnIrsPk9qv1hFLBtrXRb,Moten Swing,0,140840,0,['Count Basie'],['2jFZlvIea42ZvcCw4OeEdA'],1924,0.524,0.269,8,-14.617,1,0.11,0.966,0.825,0.123,0.563,183.759,3,1924
7JqEsyJDSlGjg95DDk1Q71,All of Me,1,181200,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1924,0.504,0.0659,2,-14.253,0,0.0414,0.975,5.87e-06,0.178,0.395,105.496,5,1924
1bQ2BR5kCUrnvuTgfDwdiZ,Tonight I Shall Sleep,5,176947,0,['Duke Ellington'],['4F7Q5NV6h5TSwCainz8S5A'],1925,0.183,0.141,1,-14.981,1,0.0363,0.975,0.833,0.119,0.16,81.125,4,1925
71SxKog2t1yfpQ6LTkEXjC,The Minor Goes Muggin',5,182120,0,"['Tommy Dorsey', 'Duke Ellington']",['4WoGga7UeRcmjD4ufif4nG' '4F7Q5NV6h5TSwCainz8S5A'],1925,0.432,0.461,6,-12.228,1,0.0533,0.973,0.755,0.114,0.604,178.098,4,1925
1JUFU8XJRWgG9Ir8KlLvpW,Pause Track,0,4000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
2SkCeUUaX2hrixAHeNPJqr,Knockin' A Jug - 78 rpm Version,0,194200,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.806,0.358,10,-14.0,1,0.156,0.578,0.799,0.15,0.598,113.569,4,1925
2fKnluaRpiiCFHWwKFkIgN,Pause Track,0,4000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
2jdIDTMKpzrw7agn1Whtse,Pause Track,0,4000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
2s6e7KLoQ5hie3Cnh73v2v,Pause Track,0,3344,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
35GlCW5aqb8iJAdLuUf7tF,Pause Track,0,4000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
3FJKiutEH4II0X6JMVKrYU,Knockin' A Jug - 78 rpm Version,3,194200,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.806,0.358,10,-14.0,1,0.156,0.578,0.799,0.15,0.598,113.569,4,1925
3JsA42XsFdT5e4QIfCwxQk,Weather Bird,0,164693,0,"['Louis Armstrong', 'Earl Hines']",['19eLuQmk9aCobbVDHc6eek' '2mY5u4CceAPrpBnse1WpFr'],1925,0.822,0.276,0,-12.276,0,0.0975,0.863,0.548,0.146,0.845,103.383,4,1925
4SjlyAejCNUB4MrGM1KuVp,Pause Track,0,3344,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
4WeyR22Ax2fF9dY0NxgjFV,Pause Track,0,3344,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
4ZyFcBGN2aU9vgX1nD9d38,Pause Track,0,4000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
